"Nom","Catégorie de frais","Type de frais","Unité","Impôt(%)","Frais standards (f CFA)"
"REFRACTION 2","Radio","Radiology","Hz","0.00","2500.00"
"REFRACTION 1","Radio","Radiology","Hz","0.00","3000.00"
"urée urinaire","Examen Pathologie","Pathology","g/L","0.00","17500.00"
"IONOGRAMME URINAIRE","Examen Pathologie","Pathology","g/L","0.00","15500.00"
"Spermogramme","Examen Pathologie","Pathology","Hz","0.00","45000.00"
"Actes opératoires","Actes opératoires","Operations","Heur","0.00","1000000.00"
"DIALYSE","Examen Pathologie","Pathology","Heur","0.00","65000.00"
"ANAPATH","Examen Pathologie","Pathology","g/L","0.00","45000.00"
"AMIU","Examen Pathologie","Pathology","Hz","0.00","50000.00"
"Acte Ophtalmologique","Radio","Radiology","Hz","0.00","70000.00"
"GLYCEMIE A JEUN","Examen Pathology Prise en charge IPM","PRISE EN CHARGE","g/L","0.00","2600.00"
"GLYCEMIE A JEUN","Examen Pathology Prise en charge Assurance","PRISE EN CHARGE","g/L","0.00","2200.00"
"CREATINEMIE","Examen Pathology Prise en charge Assurance","PRISE EN CHARGE","g/L","0.00","0.00"
"CREATINEMIE","Examen Pathology Prise en charge Assurance","PRISE EN CHARGE","g/L","0.00","3900.00"
"UREE","Examen Pathology Prise en charge IPM","PRISE EN CHARGE","g/L","0.00","3300.00"
"UREE","Examen Pathology Prise en charge Assurance","PRISE EN CHARGE","g/L","0.00","3900.00"
"F.O.G.D","Examen Radiologie Prise en charge IPM","PRISE EN CHARGE","Heur","0.00","44000.00"
"SEGMENT 3","SCANNER IPM","PRISE EN CHARGE","Hz","0.00","237600.00"
"SEGMENT 3","scanner assurance","PRISE EN CHARGE","Hz","0.00","324000.00"
"SEGMENT 2","SCANNER IPM","PRISE EN CHARGE","Hz","0.00","158400.00"
"SEGMENT 2","scanner assurance","PRISE EN CHARGE","Hz","0.00","216000.00"
"SEGMENT 1","SCANNER IPM","PRISE EN CHARGE","Hz","0.00","79200.00"
"SEGMENT 1","scanner assurance","PRISE EN CHARGE","Hz","0.00","108000.00"
"BULIRUBINE TOTAL","Examen Pathology Prise en charge IPM","PRISE EN CHARGE","g/L","0.00","4420.00"
"BULIRUBINE TOTAL","Examen Pathology Prise en charge IPM","PRISE EN CHARGE","g/L","0.00","5200.00"
"BULIRUBINE DIRECTE","Examen Pathology Prise en charge IPM","PRISE EN CHARGE","g/L","0.00","4420.00"
"BULIRUBINE DIRECTE","Examen Pathology Prise en charge Assurance","PRISE EN CHARGE","g/L","0.00","5200.00"
"HEMOGLOBINE GLYQUEE","Examen Pathology Prise en charge IPM","PRISE EN CHARGE","g/L","0.00","11000.00"
"HEMOGLOBINE GLYQUEE","Examen Pathology Prise en charge Assurance","PRISE EN CHARGE","g/L","0.00","13000.00"
"GSRH","Examen Pathology Prise en charge IPM","PRISE EN CHARGE","g/L","0.00","6600.00"
"GSRH","Examen Pathology Prise en charge Assurance","PRISE EN CHARGE","g/L","0.00","7800.00"
"TESTE D'EMEL","Examen Pathology Prise en charge IPM","PRISE EN CHARGE","g/L","0.00","4420.00"
"TESTE D'EMEL","Examen Pathology Prise en charge Assurance","PRISE EN CHARGE","g/L","0.00","5200.00"
"WIDAL ET FELIX","Examen Pathology Prise en charge IPM","PRISE EN CHARGE","g/L","0.00","8800.00"
"WIDAL ET FELIX","Examen Pathology Prise en charge Assurance","PRISE EN CHARGE","g/L","0.00","10400.00"
"URO TDM","SCANNER IPM","PRISE EN CHARGE","Hz","0.00","108000.00"
"URO TDM","scanner assurance","PRISE EN CHARGE","Hz","0.00","108000.00"
"FSH","Examen Pathology Prise en charge IPM","PRISE EN CHARGE","g/L","0.00","17600.00"
"FSH","Examen Pathology Prise en charge Assurance","PRISE EN CHARGE","g/L","0.00","20800.00"
"PROGESTERONE","Examen Pathology Prise en charge Assurance","PRISE EN CHARGE","g/L","0.00","20800.00"
"PROGESTERONE","Examen Pathology Prise en charge IPM","PRISE EN CHARGE","g/L","0.00","17600.00"
"F.O.G.D","Examen Radiologie Prise en charge Assurance","PRISE EN CHARGE","Hz","0.00","60000.00"
"ANESTESIE","Consultation","OPD","Heur","0.00","35000.00"
"CALCEMIE","Examen Pathologie","Pathology","g/L","0.00","5500.00"
"Groupage sangin","Examen Pathologie","Pathology","g/L","0.00","3500.00"
"MAPA","Examen Radiologie Prise en charge Assurance","PRISE EN CHARGE","Heur","0.00","65000.00"
"ECHO OBSTRICALE","Examen Radiologie Prise en charge IPM","PRISE EN CHARGE","Hz","0.00","28600.00"
"ECHO OBSTRICALE","Examen Radiologie Prise en charge Assurance","PRISE EN CHARGE","Hz","0.00","39000.00"
"PRELEVEMENT CONSTANT","Examen Pathology Prise en charge Assurance","PRISE EN CHARGE","g/L","0.00","2000.00"
"PRELEVEMENT CONSTANT","Examen Pathology Prise en charge IPM","PRISE EN CHARGE","g/L","0.00","1700.00"
"HOSPITQLISQTION CABINE","HOSPITALISATION IPM","PRISE EN CHARGE","Heur","0.00","40000.00"
"TP","Examen Pathology Prise en charge IPM","PRISE EN CHARGE","g/L","0.00","4400.00"
"INR","Examen Pathology Prise en charge IPM","PRISE EN CHARGE","g/L","0.00","9900.00"
"INR","Examen Pathology Prise en charge Assurance","PRISE EN CHARGE","g/L","0.00","11700.00"
"CORTISOL DE 08H","Examen Pathology Prise en charge IPM","PRISE EN CHARGE","g/L","0.00","22000.00"
"TDM MEMBRE SUPERIEUR","SCANNER IPM","PRISE EN CHARGE","Hz","0.00","79200.00"
"D-DIMERS","Examen Pathology Prise en charge Assurance","PRISE EN CHARGE","g/L","0.00","17600.00"
"TSH","Examen Pathology Prise en charge Assurance","PRISE EN CHARGE","g/L","0.00","18200.00"
"IONOGRAMME SANGUIN","Examen Pathology Prise en charge IPM","PRISE EN CHARGE","g/L","0.00","9900.00"
"ALPHA FP","Examen Pathology Prise en charge Assurance","PRISE EN CHARGE","g/L","0.00","26000.00"
"CA19","Examen Pathology Prise en charge Assurance","PRISE EN CHARGE","g/L","0.00","20800.00"
"AGHBE","Examen Pathology Prise en charge IPM","PRISE EN CHARGE","g/L","0.00","15400.00"
"ELECTROPHORESE DES PROTEÏNES","Examen Pathology Prise en charge Assurance","PRISE EN CHARGE","Heur","0.00","15600.00"
"ELELCTROPHORESE","Examen Pathology Prise en charge Assurance","PRISE EN CHARGE","g/L","0.00","41600.00"
"CONSULTATION CHIRURGIE","CONSULTATION PRISE EN CHARGE ASSURANCE","PRISE EN CHARGE","Heur","0.00","16000.00"
"HOSPITALISATION CABINE","HOSPITALISATION ASSURANCE","PRISE EN CHARGE","Heur","0.00","40000.00"
"HOSPITALISATION CABINE VIP","HOSPITALISATION ASSURANCE","PRISE EN CHARGE","Heur","0.00","50000.00"
"CONSULTATION GYNECOLOGIQUE","CONSULTATION PRISE EN CHARGE ASSURANCE","PRISE EN CHARGE","Heur","0.00","16000.00"
"RAPPORT MEDICAL","RAPPORT MEDICAL","PRISE EN CHARGE","Heur","0.00","16000.00"
"HOLTER","Examen Radiologie Prise en charge Assurance","PRISE EN CHARGE","Heur","0.00","90000.00"
"VPA","CONSULTATION PRISE EN CHARGE ASSURANCE","PRISE EN CHARGE","Heur","0.00","16000.00"
"CONSULTATION GENERALE (Ass)","CONSULTATION PRISE EN CHARGE ASSURANCE","PRISE EN CHARGE","Heur","0.00","10000.00"
"CONSULTATION ENDOCCRINO","CONSULTATION PRISE EN CHARGE IPM","PRISE EN CHARGE","Heur","0.00","35000.00"
"TDM MEMBRE INFERIEUR","scanner assurance","PRISE EN CHARGE","Hz","0.00","108000.00"
"TDM MEMBRE INFERIEUR","SCANNER IPM","PRISE EN CHARGE","Hz","0.00","79200.00"
"TDM SUPERIEUR","scanner assurance","PRISE EN CHARGE","Hz","0.00","108000.00"
"TDM DES TSA","scanner assurance","PRISE EN CHARGE","Hz","0.00","216000.00"
"TDM DES TSA","SCANNER IPM","PRISE EN CHARGE","Hz","0.00","158400.00"
"ELECTROPHORESE  DES PROTEÏNES","Examen Pathology Prise en charge IPM","PRISE EN CHARGE","g/L","0.00","13200.00"
"ELECTROPHORESE","Examen Pathology Prise en charge IPM","PRISE EN CHARGE","Heur","0.00","35200.00"
"CONSULTATION CHIRURGIE","CONSULTATION PRISE EN CHARGE IPM","PRISE EN CHARGE","Heur","0.00","9400.00"
"HOSPITALISATION CABINE VIP","HOSPITALISATION IPM","PRISE EN CHARGE","Heur","0.00","35000.00"
"CONSULTATION GYNECOLOGIQUE","CONSULTATION PRISE EN CHARGE IPM","PRISE EN CHARGE","Heur","0.00","16000.00"
"RAPPORT MEDICAL","RAPPORT MEDICAL","PRISE EN CHARGE","Heur","0.00","16000.00"
"HOLTER","Examen Radiologie Prise en charge IPM","PRISE EN CHARGE","Heur","0.00","90000.00"
"MAPA","Examen Radiologie Prise en charge IPM","PRISE EN CHARGE","Heur","0.00","65000.00"
"VPA","CONSULTATION PRISE EN CHARGE IPM","PRISE EN CHARGE","Heur","0.00","16000.00"
"CONSULTATION GENERAL","Consultation","OPD","Heur","0.00","5000.00"
"PSA TOTAL","Examen Pathology Prise en charge IPM","PRISE EN CHARGE","g/L","0.00","35200.00"
"D.DIMERS","Examen Pathology Prise en charge IPM","PRISE EN CHARGE","g/L","0.00","20800.00"
"AFP","Examen Pathology Prise en charge IPM","PRISE EN CHARGE","g/L","0.00","22000.00"
"TSH","Examen Pathology Prise en charge IPM","PRISE EN CHARGE","g/L","0.00","15400.00"
"CRP","Examen Pathology Prise en charge IPM","PRISE EN CHARGE","g/L","0.00","8800.00"
"T3","Examen Pathology Prise en charge IPM","PRISE EN CHARGE","g/L","0.00","15400.00"
"BETA HCG PLASMATIQUE","Examen Pathology Prise en charge IPM","PRISE EN CHARGE","g/L","0.00","20800.00"
"FCV","Examen Pathology Prise en charge IPM","PRISE EN CHARGE","g/L","0.00","13200.00"
"BU","Examen Pathology Prise en charge IPM","PRISE EN CHARGE","g/L","0.00","6600.00"
"PHOSPHOREMIE","Examen Pathology Prise en charge IPM","PRISE EN CHARGE","g/L","0.00","4400.00"
"ALPHA FP","Examen Pathology Prise en charge IPM","PRISE EN CHARGE","g/L","0.00","22000.00"
"COMBS DIRECT","Examen Pathology Prise en charge IPM","PRISE EN CHARGE","g/L","0.00","4400.00"
